Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,,,
OXLD1,31.57220933,0.30266733,0.255616089,0.125828568,0.229387075,,,,,,
CCDC137,581.6492679,-0.093874235,0.096105732,0.310961967,0.459095893,,,,,,
ARL16,343.9650624,0.145244122,0.093041961,0.10802321,0.203589485,,,,,,
HGS,1032.924879,0.098735951,0.076699647,0.190677782,0.317890858,,,,,,
MRPL12,359.1562155,-0.083392847,0.123333157,0.483506389,0.628098476,,,,,,
SLC25A10,167.7095965,-0.485028132,0.145253987,0.000310378,0.001332341,,,,,,
LOC128626546,25.99005633,-0.481401308,0.340529251,0.042138312,0.094471195,,,,,,
GCGR,0.668194721,-0.007295935,0.373412389,0.993306255,NA,,,,,,
MCRIP1,397.1985103,-0.165938084,0.13729449,0.192561658,0.320300957,,,,,,
PPP1R27,4.558813217,0.158644808,0.376981113,0.306780693,0.454720346,,,,,,
P4HB,9253.025802,-0.097526522,0.0732381,0.168257903,0.287938038,,,,,,
ARHGDIA,3073.780825,-0.265873854,0.084910172,0.000998014,0.003759886,,,,,,
ALYREF,763.5514526,-0.308727948,0.127230165,0.00948457,0.026795903,,,,,,
ANAPC11,159.6011004,-0.27937173,0.147283175,0.038971808,0.088829302,,,,,,
NPB,2.717123119,0.109766219,0.367207906,0.419067729,0.568152957,,,,,,
PCYT2,307.6114111,-0.113313126,0.108993227,0.273078452,0.416745236,,,,,,
SIRT7,403.4452681,0.133643187,0.1014758,0.164761929,0.283335888,,,,,,
MAFG,1712.099076,0.608593218,0.069407701,5.38E-19,2.22E-17,,,,,,
PYCR1,849.4843149,1.392918949,0.09981312,4.43E-45,1.91E-42,,,,,,
NOTUM,4.939071949,0.875598199,0.883597852,0.018334857,0.047198921,,,,,,
ASPSCR1,444.567055,0.229278652,0.125661997,0.054353495,0.116958813,,,,,,
CENPX,123.6399203,-0.422238944,0.138732093,0.001012069,0.00380431,,,,,,
LRRC45,212.3278013,0.159750558,0.107975288,0.12152425,0.223039922,,,,,,
RAC3,10.21708596,0.647618526,0.544695735,0.028004426,0.067327574,,,,,,
DCXR,44.67681821,0.008842088,0.199379983,0.941214511,0.969355222,,,,,,
LOC128626507,7.196853688,-0.213222329,0.360383103,0.263264026,0.405634123,,,,,,
LOC119058609,4.361960084,-0.137573371,0.367794738,0.36791713,0.519285219,,,,,,
RFNG,222.3208518,-0.123585816,0.12018047,0.276780728,0.420716272,,,,,,
GPS1,535.1283843,-0.125157102,0.111367735,0.259048337,0.400865557,,,,,,
DUS1L,228.3346416,0.205197032,0.115743323,0.06033144,0.1274405,,,,,,
FASN,2847.232872,0.308740981,0.116370087,0.005123401,0.015759264,,,,,,
LOC128626787,19.22694642,0.090115842,0.244066349,0.641289291,0.758626228,,,,,,
CCDC57,225.9835798,0.394995856,0.147029614,0.003709166,0.011908153,,,,,,
SLC16A3,243.4237794,-0.93112255,0.175853502,1.60E-08,1.60E-07,,,,,,
CSNK1D,1624.721511,0.123334492,0.066036281,0.074751326,0.151357479,,,,,,
TEX19,1.055471847,-0.08878677,0.380354414,0.237417295,0.37498682,,,,,,
LOC119058611,79.78041227,0.48173506,0.209590437,0.007483194,0.021823819,,,,,,
UTS2R,19.01672636,0.103157563,0.263399967,0.590291917,0.719669795,,,,,,
OGFOD3,203.8184946,0.060576072,0.123666995,0.619222482,0.740810612,,,,,,
HEXD,261.0858425,-0.140731121,0.103367706,0.157153582,0.273021054,,,,,,
LOC119058554,243.1149959,0.086288734,0.11204322,0.41636213,0.565625296,,,,,,
NARF,646.7873197,-0.239444498,0.109612551,0.021860373,0.054683462,,,,,,
FOXK2,858.0097562,0.269161282,0.086265012,0.001311308,0.004788851,,,,,,
WDR45B,1134.430408,0.00203734,0.070103928,0.882278229,0.928103694,,,,,,
RAB40B,6.479359094,0.151425437,0.335632895,0.41136101,0.560416451,,,,,,
FN3KRP,1178.537191,0.065935625,0.065557538,0.308755306,0.456609749,,,,,,
FN3K,24.13641477,0.411191873,0.277592355,0.051896771,0.112478689,,,,,,
TBCD,509.589307,-0.183050055,0.084621572,0.026254896,0.063851968,,,,,,
ZNF750,0.88798293,-0.019827533,0.365729473,0.796095481,NA,,,,,,
B3GNTL1,120.7511943,0.40457759,0.128817907,0.000856289,0.003288603,,,,,,
METRNL,25.71737238,1.035740553,0.289878651,4.24E-05,0.000222531,,,,,,
LOC119058613,21.23518922,0.264015326,0.261488197,0.185896738,0.311761643,,,,,,
LOC119063186,2671.274495,0.064179958,0.113869351,0.555241721,0.689377216,,,,,,
LOC119060370,1665.657892,0.798495353,0.072942598,1.38E-28,1.40E-26,,,,,,
RABL2B,360.8843586,0.133203838,0.084188981,0.099325465,0.190659471,,,,,,
ACR,0.30003157,0.025974862,0.374187597,0.673233047,NA,,,,,,
SHANK3,12.09992853,0.191563813,0.301103536,0.336918801,0.486355092,,,,,,
ARSA,65.64479657,-0.295251065,0.199788539,0.081837936,0.162842768,,,,,,
MAPK8IP2,4.237366238,0.082198995,0.337137974,0.609236239,0.733995255,,,,,,
CHKB,161.7958362,-0.147971868,0.124212285,0.197097505,0.326199572,,,,,,
CPT1B,1.112405502,-0.067153786,0.373536155,0.390581056,0.541096717,,,,,,
SYCE3,0.559177131,-0.003252386,0.370193693,0.993747173,NA,,,,,,
ODF3B,0.313216828,0.007967172,0.371971791,0.995863169,NA,,,,,,
TYMP,1.568528513,0.022346323,0.354525207,0.853311032,0.908721053,,,,,,
LOC119060212,104.3691361,-0.375108025,0.165564152,0.011676015,0.032176034,,,,,,
NCAPH2,824.5239265,-0.065534669,0.106740627,0.537277693,0.673851975,,,,,,
LMF2,478.4603381,0.07125014,0.096285558,0.447758069,0.596088789,,,,,,
ADM2,0.150237402,0.013358217,0.373654889,0.919054929,NA,,,,,,
SBF1,1314.918296,-0.147421807,0.094195775,0.105188465,0.199394172,,,,,,
PPP6R2,895.628376,0.179872463,0.064646615,0.00465508,0.014529819,,,,,,
LOC128626819,0.949525759,-0.043931777,0.369057503,0.542556501,0.678447875,,,,,,
DENND6B,116.358673,0.105231432,0.169815441,0.490775865,0.634171903,,,,,,
PLXNB2,3546.087073,-0.375595293,0.092994832,2.92E-05,0.000158888,,,,,,
MAPK11,57.36972055,0.122362411,0.189494701,0.451274061,0.599535049,,,,,,
MAPK12,290.5172536,0.346189049,0.117230905,0.001848129,0.006490897,,,,,,
HDAC10,181.3478518,0.047228466,0.145126573,0.750595367,0.841784517,,,,,,
TUBGCP6,381.3391573,-0.101715563,0.087663076,0.231461956,0.36772285,,,,,,
SELENOO,133.3785449,-0.113423611,0.132442368,0.384235804,0.534774289,,,,,,
TRABD,717.7161983,0.252013349,0.077475681,0.000810366,0.003136599,,,,,,
PANX2,61.56962233,0.644964758,0.197654226,0.000249571,0.001099683,,,,,,
IL17REL,0.467370427,-0.006372854,0.373498766,0.995517566,NA,,,,,,
PIM3,100.0085647,0.774093232,0.268012599,0.000617291,0.002458924,,,,,,
CRELD2,659.3249311,0.081411876,0.104040336,0.415095389,0.564360521,,,,,,
ALG12,657.6668142,0.102611758,0.100035234,0.285370942,0.43065675,,,,,,
ZBED4,1412.069083,0.097378172,0.069329721,0.152559063,0.266803772,,,,,,
LOC128626844,29.24905242,0.082411596,0.23358497,0.639165436,0.757008294,,,,,,
BRD1,1136.22709,-0.083322983,0.069278542,0.214575925,0.347865879,,,,,,
TAFA5,3.450280021,0.188720365,0.39426498,0.239303964,0.377363943,,,,,,
TBC1D22A,225.2206419,0.061674935,0.111373949,0.56267207,0.695632676,,,,,,
CERK,207.7874183,0.636162077,0.149704521,5.28E-06,3.35E-05,,,,,,
GRAMD4,613.6138444,-0.269822767,0.095786152,0.004386925,0.013789121,,,,,,
LOC128626796,3.181498934,0.199474537,0.412789533,0.178684933,0.302425868,,,,,,
LOC128626797,0.671323728,0.005074714,0.368705178,0.973185529,NA,,,,,,
CELSR1,1483.968153,-0.814556989,0.10870019,8.63E-15,2.14E-13,,,,,,
TRMU,355.1438036,0.538973142,0.096816803,1.23E-08,1.25E-07,,,,,,
GTSE1,116.3531432,-1.6546772,0.236667749,2.60E-13,5.37E-12,,,,,,
TTC38,110.6371359,-0.113794496,0.142619102,0.370947003,0.522089625,,,,,,
PKDREJ,1.788747336,-0.055191726,0.355896009,0.642468765,0.759593469,,,,,,
CDPF1,170.1807358,0.754170577,0.136188727,6.55E-09,7.00E-08,,,,,,
PPARA,418.0502639,0.705244358,0.160929788,2.68E-06,1.80E-05,,,,,,
LOC128626885,4.215973777,0.136702385,0.367406457,0.364349429,0.515418152,,,,,,
LOC119060244,34.89450611,-0.250264961,0.236276114,0.18275624,0.307629489,,,,,,
LOC119060243,28.634886,-0.514946751,0.318965976,0.027698147,0.066699759,,,,,,
WNT7B,32.92795183,-0.819631128,0.355367715,0.002591369,0.008712181,,,,,,
ATXN10,1491.959972,0.05754512,0.061083873,0.334049095,0.483276831,,,,,,
FBLN1,145.8632756,-0.924655114,0.20815531,1.33E-06,9.42E-06,,,,,,
LOC119060220,3.743717016,-0.295568282,0.490162572,0.09438769,0.182980185,,,,,,
RIBC2,2.572454703,0.131796971,0.368441351,0.373379722,0.524309843,,,,,,
SMC1B,102.6091842,0.176253047,0.152518388,0.212802918,0.345624836,,,,,,
FAM118A,397.0347667,0.433802864,0.100558871,7.57E-06,4.62E-05,,,,,,
UPK3A,0.592269855,-0.069546411,0.37779713,0.279771325,NA,,,,,,
KIAA0930,1012.044948,-0.46995887,0.091273361,1.09E-07,9.49E-07,,,,,,
NUP50,2743.251167,-0.063534878,0.064428432,0.320457442,0.469169396,,,,,,
LOC128626896,100.248307,0.06192866,0.156902152,0.689612354,0.797163541,,,,,,
PHF21B,33.57267298,1.59256333,0.312013041,2.44E-08,2.38E-07,,,,,,
ARHGAP8,0.996010284,-0.070692785,0.380199279,0.274700606,0.418448993,,,,,,
PRR5,83.19944093,-0.235998697,0.205624739,0.172658669,0.294121629,,,,,,
LOC119060613,0.56090252,-0.021439443,0.369952344,0.685046704,NA,,,,,,
RTL6,1237.13453,-0.046829965,0.061212793,0.420871935,0.569955469,,,,,,
SHISAL1,0.364612557,0.01822237,0.373483491,0.836667168,NA,,,,,,
PARVG,6.209479869,0.90120833,0.873248037,0.016459909,0.04304466,,,,,,
PARVB,164.4354679,0.370759466,0.178485261,0.017715497,0.045815,,,,,,
SAMM50,1001.291843,0.0515921,0.071263336,0.468884529,0.615152496,,,,,,
SULT4A1,7.458324561,-0.116077987,0.335554762,0.501168337,0.642672185,,,,,,
EFCAB6,182.9147207,0.390997606,0.136529006,0.002063907,0.007168241,,,,,,
LOC128626909,39.11430606,0.157509481,0.212758072,0.37760417,0.528784246,,,,,,
SCUBE1,6.357896288,0.043509841,0.325937331,0.795567843,0.87058598,,,,,,
TTLL12,1077.599566,0.365011853,0.104095775,0.000254902,0.001120528,,,,,,
TSPO,290.2046705,-0.29545667,0.160440134,0.038721291,0.088346288,,,,,,
MCAT,29.90105785,-0.019528479,0.249752202,0.913129375,0.950776881,,,,,,
BIK,9.99249269,0.274630966,0.345255717,0.19850469,0.328044027,,,,,,
TTLL1,170.1348027,0.076542286,0.120928121,0.510086739,0.650080219,,,,,,
PACSIN2,1624.030361,-0.520611049,0.084264668,2.09E-10,2.81E-09,,,,,,
LOC128626818,28.92261267,0.527762308,0.288618071,0.017465085,0.045243964,,,,,,
ARFGAP3,557.4939704,1.160950098,0.119782194,3.66E-23,2.32E-21,,,,,,
A4GALT,48.77315352,0.731434843,0.376142466,0.007662635,0.022266014,,,,,,
LOC128626894,22.86984903,0.159430592,0.265881881,0.416457753,0.565649847,,,,,,
LOC119060265,7466.83661,-0.12258784,0.096310125,0.186676155,0.31267698,,,,,,
LOC119060619,0.570148026,0.025563209,0.371085633,0.751778607,NA,,,,,,
POLDIP3,1217.675102,0.271259998,0.06429776,1.81E-05,0.000102882,,,,,,
RRP7A,617.295366,-0.016633108,0.085150274,0.838578844,0.899585857,,,,,,
LOC128626886,2.264191544,-0.085799851,0.370161429,0.43351285,0.582196294,,,,,,
TCF20,1078.26286,0.128530136,0.076179392,0.08557487,0.16917718,,,,,,
LOC119060173,34.89587382,0.025417614,0.203490963,0.880403983,0.926653995,,,,,,
LOC119060177,4.553078554,-0.06889453,0.336640001,0.658173959,0.772888875,,,,,,
NDUFA6,451.9773182,-0.01079959,0.088459336,0.90151398,0.943203461,,,,,,
SMDT1,570.771576,-0.010337515,0.098626303,0.94645597,0.972914608,,,,,,
PHETA2,56.55479392,-0.064722527,0.181886814,0.677584031,0.788030134,,,,,,
NAGA,848.0763693,-0.453194635,0.071202317,7.49E-11,1.08E-09,,,,,,
WBP2NL,0.346709841,-0.022103369,0.373876975,0.785815309,NA,,,,,,
CENPM,65.14719507,-0.22487232,0.210694652,0.202286925,0.332561684,,,,,,
TNFRSF13C,56.88870334,0.389495573,0.232327897,0.040791776,0.09216529,,,,,,
SHISA8,1.152095144,-0.01668415,0.366496835,0.813003178,0.882447802,,,,,,
SREBF2,3652.170669,0.251453358,0.092948221,0.005068247,0.015626786,,,,,,
CCDC134,712.3007026,0.30773937,0.078873381,6.48E-05,0.000327746,,,,,,
LOC128626904,0.162979498,-0.002208392,0.373788603,0.998307229,NA,,,,,,
MEI1,0.335865704,-0.014966685,0.373813434,0.830655473,NA,,,,,,
SNU13,1349.827832,-0.319187469,0.069051537,2.45E-06,1.66E-05,,,,,,
XRCC6,818.9216631,0.191802631,0.065640165,0.002825815,0.009406327,,,,,,
DESI1,1420.018314,0.310120928,0.052422768,3.46E-09,3.85E-08,,,,,,
PMM1,188.2433203,0.450754441,0.131247291,0.000257015,0.001128542,,,,,,
CSDC2,121.4073656,0.195483942,0.148928434,0.15204459,0.266208683,,,,,,
POLR3H,284.3731518,0.126578342,0.097285613,0.174276872,0.296427626,,,,,,
ACO2,3298.379625,-0.275762135,0.065545088,3.02E-05,0.000163728,,,,,,
PHF5A,726.2465059,-0.043170514,0.085812991,0.6057095,0.731306234,,,,,,
TOB2,1286.350119,-0.215536816,0.05523812,7.57E-05,0.000377402,,,,,,
LOC128626841,0.651890087,0.048424245,0.373132971,0.52205452,NA,,,,,,
TEF,369.3858491,0.137551485,0.113075063,0.205655261,0.336716172,,,,,,
ZC3H7B,3306.775176,0.033400062,0.044911268,0.470932054,0.616875854,,,,,,
LOC119060155,27.46118616,0.030334994,0.228831466,0.870279962,0.919857027,,,,,,
LOC119060154,2.961581293,-0.001668965,0.345748091,0.985865188,0.994383404,,,,,,
RANGAP1,1019.957019,-0.280407626,0.080786315,0.000420011,0.001748053,,,,,,
CHADL,0.418271827,-0.017305148,0.371159318,0.730013718,NA,,,,,,
L3MBTL2,630.8964847,0.026350543,0.078333204,0.735085575,0.829465058,,,,,,
EP300,2851.211929,0.211986065,0.075335168,0.004017206,0.01277511,,,,,,
RBX1,672.0420508,-0.267164042,0.076042118,0.000336651,0.001432323,,,,,,
XPNPEP3,1295.904399,0.351570266,0.054636407,7.33E-11,1.06E-09,,,,,,
ST13,2465.595539,-0.049447826,0.075407072,0.52946746,0.667330737,,,,,,
SLC25A17,769.0638231,-0.139907802,0.066854517,0.033243804,0.07769058,,,,,,
MCHR1,20.76595877,-0.238903816,0.34657784,0.236058482,0.373169492,,,,,,
MRTFA,891.6025447,-0.135469854,0.074816584,0.063377415,0.132492767,,,,,,
TMA7B,0.420357133,-0.010625657,0.372357211,0.730125065,NA,,,,,,
LOC119060626,0.335482247,-0.000946789,0.372137023,0.996161815,NA,,,,,,
SGSM3,211.7749185,0.31126355,0.118164836,0.005408144,0.016568418,,,,,,
ADSL,908.6008423,0.224177292,0.073962804,0.001562193,0.005606419,,,,,,
TNRC6B,1517.99117,0.45379822,0.165671421,0.002479336,0.008384157,,,,,,
GRAP2,22.64998616,-0.252524947,0.367481276,0.206395182,0.337598814,,,,,,
ENTHD1,0.901757488,0.032545496,0.366469514,0.714311516,NA,,,,,,
CACNA1I,8.132390165,0.079385925,0.323444386,0.644314611,0.760704974,,,,,,
RPS19BP1,375.0732715,-0.174492658,0.124130704,0.1341145,0.241713814,,,,,,
ATF4,10555.17723,0.920853192,0.072673779,1.32E-37,2.84E-35,,,,,,
MIEF1,1084.136267,0.152380685,0.059492995,0.009066228,0.025774275,,,,,,
LOC119060218,60.27143354,0.195348738,0.195213137,0.242314067,0.380824557,,,,,,
MGAT3,62.98451098,-0.005072778,0.185432588,0.959968829,0.980651021,,,,,,
TAB1,376.1698026,0.08445239,0.112019069,0.426686106,0.575280192,,,,,,
SYNGR1,203.7188755,0.472803418,0.127041703,8.07E-05,0.000400706,,,,,,
RPL3,11121.24455,-0.568740679,0.091954595,1.94E-10,2.61E-09,,,,,,
LOC119060629,21.74488247,-0.361077694,0.32621274,0.10199212,0.19454074,,,,,,
LOC119060637,22.45775028,-0.230475782,0.281076669,0.253111772,0.39378148,,,,,,
LOC119060635,12.17227947,-0.081178845,0.2902156,0.668981344,0.781105536,,,,,,
LOC119060636,4.529955106,-0.109100565,0.351069112,0.490609309,0.634054162,,,,,,
LOC119060385,212.4491953,-0.325024601,0.280526002,0.110912992,0.207691588,,,,,,
LOC119060596,2.188997193,0.046741274,0.361159283,0.641463712,0.758674456,,,,,,
PDGFB,1336.047994,-0.26956647,0.079799498,0.00059269,0.002370478,,,,,,
TRNAG-CCC_2,66.52592997,-0.949736528,0.23039863,4.77E-06,3.06E-05,,,,,,
CBX7,32.82071373,0.556821854,0.254171731,0.007569444,0.022037124,,,,,,
LOC119060231,1.014996642,0.025446888,0.365574801,0.758066019,0.847115741,,,,,,
LOC119045901,844.5719823,0.975417059,0.169933765,1.19E-09,1.42E-08,,,,,,
LOC128626836,0.201092536,-0.004510966,0.373840705,0.908866423,NA,,,,,,
LOC128626835,10.49118946,1.479453232,0.867902416,0.004310485,0.013576777,,,,,,
LOC119060284,495.9533224,1.545940788,0.215061398,4.75E-14,1.07E-12,,,,,,
LOC119060424,256.5239709,1.215889109,0.228066292,8.63E-09,9.05E-08,,,,,,
CBX6,369.1064525,-0.164162582,0.088186483,0.053961326,0.116248865,,,,,,
NPTXR,4.81557785,0.085259893,0.349484788,0.558038881,0.691695862,,,,,,
DNAL4,127.3903557,0.07063958,0.145891947,0.58844096,0.717704904,,,,,,
LOC119060593,26.66252157,-1.422879957,0.324960008,9.11E-07,6.71E-06,,,,,,
SUN2,895.5884379,-1.008854625,0.096833661,2.59E-26,2.21E-24,,,,,,
GTPBP1,775.239676,0.164429227,0.110616869,0.119072601,0.219326218,,,,,,
JOSD1,529.1049844,0.342318098,0.071130884,8.43E-07,6.25E-06,,,,,,
TOMM22,1497.036756,-0.240490697,0.09513931,0.008229329,0.02366724,,,,,,
CBY1,676.341175,0.246891507,0.083260923,0.002552476,0.008603794,,,,,,
FAM227A,518.4137153,-0.022956249,0.103693282,0.818067617,0.886064217,,,,,,
DMC1,16.63239378,0.575065704,0.363534323,0.022558868,0.05609683,,,,,,
LOC119060570,397.4426287,0.290152965,0.084045819,0.000405261,0.001693795,,,,,,
DDX17,7449.034023,-0.259588489,0.079619848,0.001383654,0.005023817,,,,,,
KDELR3,860.913742,0.589864431,0.115036929,8.41E-08,7.46E-07,,,,,,
KCNJ4,2.002379784,0.157192305,0.388140757,0.26960487,0.412718137,,,,,,
CSNK1E,1113.15766,-0.300120614,0.08050365,0.00011544,0.000551605,,,,,,
LOC128626816,0.190806647,-0.002282624,0.373740615,0.997734553,NA,,,,,,
TMEM184B,835.0946593,-0.144089443,0.087826603,0.090996599,0.177680664,,,,,,
MAFF,902.6595714,0.394165706,0.122297776,0.000639902,0.002538169,,,,,,
PLA2G6,42.31781792,0.105682524,0.204571422,0.539532552,0.675772539,,,,,,
BAIAP2L2,12.09511601,0.327701779,0.372297031,0.138423686,0.24770089,,,,,,
SLC16A8,0.181286519,-0.001051297,0.373819731,0.998319213,NA,,,,,,
PICK1,358.0648448,0.146248125,0.133633082,0.260301493,0.402266216,,,,,,
SOX10,0.623416862,-0.061975423,0.37625167,0.267945584,NA,,,,,,
POLR2F,466.6475374,0.02912304,0.105121513,0.770036091,0.854184156,,,,,,
CUNH22orf23,43.13594748,0.123888738,0.204927625,0.471402252,0.617107068,,,,,,
MICALL1,1341.550437,0.898542639,0.093189625,3.93E-22,2.22E-20,,,,,,
LOC128626882,7.396400393,1.107545097,0.685465431,0.006573805,0.019575848,,,,,,
EIF3L,3384.424432,-0.023089894,0.070395408,0.748198781,0.839544857,,,,,,
LOC119060358,76.78902605,0.00037221,0.155312482,0.997745793,0.999354038,,,,,,
ANKRD54,288.7744152,0.078716815,0.114924198,0.452860877,0.601120605,,,,,,
GALR3,0.469468483,0.033713133,0.373384547,0.540730331,NA,,,,,,
LOC128626901,0.305710091,0.013757522,0.373245067,0.841309019,NA,,,,,,
GCAT,50.32554729,0.310740767,0.194735242,0.063415203,0.132526482,,,,,,
LOC119060525,3142.436845,0.595814962,0.124870582,4.62E-07,3.59E-06,,,,,,
TRIOBP,1396.166505,0.234463125,0.087784716,0.005630323,0.017130449,,,,,,
NOL12,98.64482375,0.151692938,0.147137889,0.258785964,0.400607059,,,,,,
LOC119060522,22.12055219,-0.007060837,0.230239668,0.961429935,0.981470263,,,,,,
LGALS1,2609.67676,0.007497826,0.08930954,0.925204806,0.958977235,,,,,,
PDXP,99.15433839,-0.224000578,0.177139968,0.144634099,0.255899295,,,,,,
SH3BP1,92.71762962,0.13798124,0.160401329,0.337083879,0.486509831,,,,,,
GGA1,374.8275421,0.010055663,0.094705127,0.911199098,0.949763871,,,,,,
LGALS2,2.258058604,0.003703015,0.366489655,0.998986104,0.999402273,,,,,,
CDC42EP1,932.7211934,0.042142663,0.107061468,0.682032664,0.791251795,,,,,,
CARD10,100.78975,0.052792788,0.174266891,0.735672008,0.829809196,,,,,,
MFNG,1.332873285,0.070967029,0.369404511,0.47908112,0.623807407,,,,,,
LOC128626812,0.331067795,-0.025632875,0.374292042,0.628848224,NA,,,,,,
ELFN2,1.574306247,-0.035152971,0.356260046,0.729383976,0.825188463,,,,,,
RAC2,0.637480539,-0.00492238,0.36893829,0.87195633,NA,,,,,,
SSTR3,0.862115285,-0.144608661,0.410420861,0.035979771,NA,,,,,,
C1QTNF6,312.6088442,-1.418562338,0.160951276,1.03E-19,4.64E-18,,,,,,
IL2RB,16.07035602,-1.32731845,0.432214863,0.00016564,0.000765367,,,,,,
KCTD17,769.9176783,-0.499691967,0.102582727,4.94E-07,3.82E-06,,,,,,
MPST,318.9808444,-0.376273214,0.109064096,0.000314575,0.001347261,,,,,,
TST,125.9475316,-0.476205307,0.200220681,0.006138694,0.018476533,,,,,,
TEX33,0.525323986,0.001656951,0.36795158,0.962343492,NA,,,,,,
IFT27,243.7157154,0.173400307,0.11646046,0.117227632,0.216644294,,,,,,
CACNG2,0.493653291,0.039402869,0.37258429,0.563688205,NA,,,,,,
EIF3D,2954.765014,-0.003284043,0.072417492,0.962548948,0.982002052,,,,,,
FOXRED2,1182.743687,-0.166945467,0.101612615,0.079346938,0.158769436,,,,,,
LOC119060477,4.076506211,-0.219038681,0.40446445,0.20137264,0.331558358,,,,,,
TXN2,558.1050647,-0.390774019,0.091132013,9.03E-06,5.43E-05,,,,,,
MYH9,74825.69464,-0.372671181,0.07423199,2.86E-07,2.31E-06,,,,,,
LOC119060296,8.604559845,0.01841805,0.337644786,0.897556628,0.940467925,,,,,,
LOC119060295,47.35572818,0.723871203,0.894505993,0.020922802,0.052770038,,,,,,
RBFOX2,3576.370436,-0.547510845,0.076781554,3.33E-13,6.78E-12,,,,,,
APOL5,8.605604309,-0.84531134,0.713128245,0.016655988,0.043422326,,,,,,
APOL6,263.5764031,0.24205953,0.372203781,0.218305512,0.352112422,,,,,,
RASD2,2.123455389,-0.152083009,0.402866768,0.141227565,0.251273854,,,,,,
MCM5,332.9798468,-1.464651138,0.186805966,3.63E-16,1.11E-14,,,,,,
HMOX1,131.5063804,0.943077206,0.195576914,1.66E-07,1.39E-06,,,,,,
TOM1,338.8559684,0.350706759,0.099801908,0.00024867,0.001096286,,,,,,
HMGXB4,805.0293954,0.16842954,0.078334801,0.02730366,0.065925672,,,,,,
LARGE1,988.3679599,-0.422474126,0.13791296,0.001080998,0.004028282,,,,,,
SYN3,4.181993624,-0.368353616,0.517355653,0.08398591,0.166486395,,,,,,
TIMP3,9316.821485,-0.433617637,0.190110116,0.009147423,0.025965582,,,,,,
FBXO7,464.4836173,0.611121558,0.111404844,1.13E-08,1.15E-07,,,,,,
LOC119060275,74.64738702,0.368570786,0.178201191,0.018761389,0.048133637,,,,,,
BPIFC,35.42262574,0.075638721,0.224247215,0.679734614,0.789930097,,,,,,
RTCB,1852.243282,0.028638157,0.046719739,0.491220699,0.634460823,,,,,,
ASCL4,2.314784075,0.286931919,0.528617415,0.011976647,0.032885893,,,,,,
PRDM4,838.7426481,0.174607086,0.066974995,0.007976621,0.023045983,,,,,,
PWP1,1366.036987,-0.342673714,0.069694754,4.03E-07,3.17E-06,,,,,,
ABTB3,292.0250221,0.435918465,0.390153943,0.068655949,0.141278798,,,,,,
LOC119060382,4.500879974,0.04907838,0.336202385,0.753157522,0.843476212,,,,,,
CRY1,444.573567,0.305208302,0.122690433,0.008207664,0.023613013,,,,,,
MTERF2,399.5579502,0.05624163,0.09341665,0.534395417,0.671338985,,,,,,
TMEM263,1648.356425,0.671715981,0.079815688,9.68E-18,3.48E-16,,,,,,
RIC8B,883.2361131,-0.081011526,0.075468517,0.276897004,0.420815355,,,,,,
RFX4,6.683275393,0.077948707,0.329572763,0.640224536,0.757802239,,,,,,
POLR3B,468.2103817,-0.321050683,0.083169781,0.000101886,0.000494145,,,,,,
TCP11L2,481.9800156,0.002659913,0.172745973,0.991103972,0.997094845,,,,,,
LOC119060373,95.49377663,-0.046684762,0.1401314,0.711846992,0.812420933,,,,,,
CKAP4,3272.229814,-0.472737855,0.058267479,2.12E-16,6.65E-15,,,,,,
LOC119060558,14.30579097,-0.271221807,0.32184089,0.193920958,0.322147575,,,,,,
NUAK1,5110.738009,-0.171903707,0.077894047,0.021696435,0.054346158,,,,,,
CUNH12orf75,32.73890017,-0.45142624,0.274607242,0.033640409,0.078442958,,,,,,
LOC119060607,15.20709355,0.129547769,0.27525443,0.502158143,0.643373746,,,,,,
APPL2,411.5480142,-0.163304303,0.087066511,0.060596472,0.127858104,,,,,,
WASHC4,1451.238433,0.049592304,0.072232731,0.525976116,0.664191003,,,,,,
ALDH1L2,1002.324517,1.971027171,0.187632046,5.78E-27,5.22E-25,,,,,,
NOPCHAP1,803.6545788,0.184818714,0.083351604,0.023074034,0.057166472,,,,,,
SLC41A2,486.4882966,1.209114311,0.128940641,9.13E-22,4.94E-20,,,,,,
CHST11,337.978972,-0.055617145,0.160066328,0.69885566,0.80293648,,,,,,
TXNRD1,6572.89613,-0.686498347,0.066778127,4.61E-25,3.42E-23,,,,,,
EID3,147.0396832,0.133791679,0.229853648,0.459185466,0.60635567,,,,,,
NFYB,792.4071842,-0.364274945,0.073327114,3.23E-07,2.58E-06,,,,,,
HCFC2,778.725971,0.305189973,0.096657788,0.001074964,0.004011132,,,,,,
GLT8D2,11.13177321,-0.970461301,0.68513068,0.009937814,0.027930889,,,,,,
TDG,1105.340896,-0.140577449,0.056363969,0.011809089,0.032501384,,,,,,
LOC119060339,162.8216405,0.041492774,0.113512004,0.696678974,0.801805665,,,,,,
HSP90B1,32693.35694,0.132221559,0.07068726,0.05673162,0.121206639,,,,,,
LOC119060254,31.34844373,-0.247107065,0.250756072,0.201001983,0.331389107,,,,,,
NT5DC3,232.0157735,0.350079029,0.123712721,0.00258246,0.008685854,,,,,,
PAH,0.679010778,-0.071364974,0.382437045,0.117413301,NA,,,,,,
IGF1,0.260204816,-0.012747052,0.373911261,0.738849101,NA,,,,,,
